category;title;link
Página Principal;https://observatoriodemusica.uol.com.br/noticia/parada-do-uk-ed-sheeran-deve-barrar-topo-de-bts-e-coldplay?utm_source=bol&utm_medium=feed&utm_campaign=Feed%20BOL;Parada do UK: Ed Sheeran deve barrar topo de BTS e Coldplay
Página Principal;https://observatoriog.bol.uol.com.br/destaque/apos-sofrer-ataques-homofobicos-filho-da-cantora-walkyria-santos-e-encontrado-morto?utm_source=bol&utm_medium=feed&utm_campaign=Feed%20BOL;Após sofrer ataques homofóbicos, filho da cantora Walkyria Santos é encontrado morto
Página Principal;https://observatoriog.bol.uol.com.br/noticias/cantor-tiago-explica-motivo-de-ter-feito-a-cirurgia-para-aumentar-o-tamanho-do-seu-penis?utm_source=bol&utm_medium=feed&utm_campaign=Feed%20BOL;Cantor Tiago explica motivo de ter feito a cirurgia para aumentar o tamanho do seu pênis
Página Principal;https://observatoriog.bol.uol.com.br/noticias/direitos/homem-gay-e-indenizado-por-hemocentro-apos-ser-proibido-de-doar-sangue?utm_source=bol&utm_medium=feed&utm_campaign=Feed%20BOL;Homem gay é indenizado por hemocentro após ser proibido de doar sangue
Página Principal;https://noticias.uol.com.br/saude/ultimas-noticias/redacao/2019/12/06/governo-ja-gastou-r-29-milhoes-com-remedios-a-base-de-maconha-medicinal.htm;Governo já gastou R$ 2,9 milhões com remédios à base de maconha medicinal
Página Principal;https://noticias.uol.com.br/meio-ambiente/ultimas-noticias/redacao/2019/11/29/rr-desmatamento-revela-avanco-a-ultima-fronteira-agropecuaria-da-amazonia.htm;RR: desmatamento revela avanço à última fronteira agropecuária da Amazônia
Página Principal;https://noticias.uol.com.br/politica/ultimas-noticias/2019/11/29/brasil-e-exemplo-e-espera-us-10-bi-ao-ano-do-acordo-de-paris-diz-salles.htm;Ricardo Salles: Brasil cobrará no mínimo US$ 10 bi ao ano dos países ricos
Página Principal;https://observatoriodegames.uol.com.br/competicoes/tokyo-2020-grego-antes-de-levar-ouro-faz-pose-de-one-piece-assista?utm_source=bol&utm_medium=feed&utm_campaign=Feed%20BOL;"Tokyo 2020: Grego antes de levar ouro faz pose de One Piece; assista"
Página Principal;https://observatoriodegames.uol.com.br/playstation/ps5/revelado-o-real-motivo-pelo-qual-o-mcdonalds-retirou-o-dualsense-tematico-de-sorteio?utm_source=bol&utm_medium=feed&utm_campaign=Feed%20BOL;Revelado o real motivo pelo qual o McDonald’s retirou o DualSense temático de sorteio
Página Principal;https://observatoriodegames.uol.com.br/playstation/ps-plus-registra-perda-de-13-milhao-de-assinantes-sony-nao-esta-preocupada?utm_source=bol&utm_medium=feed&utm_campaign=Feed%20BOL;"PS Plus registra perda de 1,3 milhão de assinantes; Sony não está preocupada"
Página Principal;https://observatoriodegames.uol.com.br/pc/jogadores-estao-trollando-gta-online-para-conseguir-reputacao?utm_source=bol&utm_medium=feed&utm_campaign=Feed%20BOL;Jogadores trollam GTA online para ganhar reputação
Página Principal;https://noticias.uol.com.br/videos/2021/09/26/vulcao-cumbre-vieja-em-la-palma-chegou-a-sua-fase-mais-explosiva-neste-final-de-semana.htm;Vulca?o Cumbre Vieja, em La Palma, chegou a sua fase mais explosiva neste final de semana
Página Principal;https://www.bol.uol.com.br/videos/?id=gil-do-vigor-faz-story-no-instagram-com-homenagem-a-cinderela-04020C183468DCC96326;Gil do Vigor faz story no Instagram com homenagem a Cinderela
Página Principal;https://www.bol.uol.com.br/videos/?id=nuvem-vermelha-de-poeira-cobre-ribeirao-preto-04024E9C3368DCC96326;Nuvem vermelha de poeira cobre Ribeirão Preto
Página Principal;https://www.bol.uol.com.br/videos/?id=presidente-da-caixa-testa-positivo-para-covid19-04020D9B3368DCC96326;Presidente da Caixa testa positivo para Covid-19
Página Principal;https://www.uol.com.br/universa/album/2021/09/19/emmy-e-neste-domingo-relembre-melhores-looks-do-tapete-vermelho-do-evento.htm;Emmy é neste domingo: relembre melhores looks do tapete vermelho do evento
Página Principal;https://www.uol.com.br/universa/album/2021/09/12/met-gala-2021-sera-amanha-relembre-os-looks-mais-marcantes-do-evento.htm;Met Gala 2021 será amanhã: relembre os looks mais marcantes do evento
Página Principal;https://www.uol.com.br/universa/album/2021/04/11/bafta-2021-confira-os-looks-das-famosas-que-participaram-da-premiacao.htm;BAFTA 2021: veja os looks das famosas na premiação
